,organisation,records lost,year,story,sector,method,data sensitivity
373,RockYou!,"32,000,000",2009,The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses.,"web, gaming",hacked,1
374,CheckFree Corporation,"5,000,000",2009,Criminals took control of the payment service's domains. They redirected traffic to a Ukrainian Web server that used malware to install a password-stealing program on the victim's computer.,finance,hacked,1
375,Network Solutions,"573,000",2009,A large-scale infection of e-commerce sites with malicious code led to the compromise of thousands of debit and credit cards.,web,hacked,3
376,Virginia Prescription Monitoring Program,"531,400",2009,A prescriptions website with a database containing 8m patient records and 35m prescription records was hacked. The hacker demanded a $10 million ransom for the breach.,health ,hacked,2
377,University of California Berkeley,"160,000",2009,The attackers accessed a computer belonging to the university's health centre. The personal information of current students and alumni was stolen.,academic,hacked,3
378,Health Net ,"1,500,000",2009,A portable hard drive with seven years worth of personal and medical information was lost for six months before being reported. ,health ,lost device ,4
379,US Military,"76,000,000",2009,"The National Archives And Records Administration sent a defective, unencrypted hard drive for repair and recycling. It held detailed records on 76 million veterans dating back to 1972.",military,lost device ,2
380,Compass Bank,"1,000,000",2008,"A former employee stole a hard drive containing 1m account details between May & July 2007, then used it to defraud cutomers of nearly $32,000.",finance,inside job,3
381,Hannaford Brothers Supermarket Chain,"4,200,000",2008,An estimated 4.2 million credit and debit card numbers were stolen when payment data was intercepted by hackers.,retail,hacked,3
382,University of Miami,"2,100,000",2008,Six backup tapes from the medical school containing more than 2 million medical records were stolen from a van that was transporting the data to an off-site facility.,academic,lost device ,3
383,BNY Mellon Shareowner Services,"4,500,000",2008,An archiving vendor lost a box full of data storage tapes containing sensitive information.,finance,lost device ,1
384,Countrywide Financial Corp,"2,500,000",2008,A senior financial analyst was sentenced to eight months in prison after pleading guilty to downloading millions of borrower files onto thumb drives & selling the information.,finance,inside job,2
385,UK Home Office,"84,000",2008,"PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders. It had its contract terminated after an enquiry.",government,lost device ,2
386,RBS Worldpay,"1,500,000",2008,A hack compromised RBS Worldpay prepay and gift cards. Actual fraud has been committed on approximately 100 cards. The personal information of over 1m people was exposed.,finance,hacked,5
387,Auction.co.kr,"18,000,000",2008,South Korea’s largest online shopping site was attacked by a Chinese hacker who made off with user information and a large amount of financial data.,web,hacked,3
388,GS Caltex,"11,100,000",2008,Two multimedia discs containing personal data of Korean customers was found by an office worker in a trash pile in Seoul. Likely to have been stolen by an employee.,misc,inside job,2
389,AT&T,"113,000",2008,A laptop containing unencrypted Social Security numbers and bonus/salary info of AT&T employees was stolen from a car.,telecoms,lost device ,1
390,Stanford University,"72,000",2008,A laptop containing information on tens of thousands of past and current Stanford University employees was stolen.,academic,lost device ,2
391,University of Utah Hospitals & Clinics,"2,200,000",2008,Petty thieves stole backup data tapes containing billing records from an employee's car. According to police reports the thieves tried - and failed - to view the tapes using a VHS player.,academic,lost device ,4
392,Chile Ministry Of Education,"6,000,000",2008,A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of government security. ,government,hacked,1
393,Texas Lottery,"89,000",2008,"Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts) were taken from the agency without permission by a former employee.",government,inside job,2
394,Starbucks,"97,000",2008,"A laptop containing private information on 97,000 employees was stolen. Employees won a case against the firm before losing in the federal court as they were unable to prove any cognizable harm.",retail,lost device ,2
395,UK Ministry of Defence,"1,700,000",2008,"A hard drive containing sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. The loss was revealed during National Identity Fraud Prevention Week. ",government,lost device ,5
396,"T-Mobile, Deutsche Telecom","17,000,000",2008,"Thieves stole a device containing names, addresses, cell phone numbers, and some birth dates and e-mail addresses for high-profile German citizens.",telecoms,lost device ,1
397,Norwegian Tax Authorities,"3,950,000",2008,"Tax authorities accidentally sent CD-ROMs filled with the 2006 tax returns of 4m Norwegian citizens to editorial staff at national newspapers, radios and television stations.",government,oops!,2
398,Service Personnel and Veterans Agency (UK),"50,500",2008,Hard drives containing personal information of employees were stolen from a high-security facility.,government,lost device ,2
399,Monster.com,"1,600,000",2007,"A trojan virus harvested user names, e-mail addresses, home addresses and phone numbers. Soon after, phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact malware.",web,hacked,2
400,Driving Standards Agency,"3,000,000",2007,"A hard disk with details of UK driving theory test candidates was lost by a contractor while they were in Iowa, USA.",government,lost device ,2
401,Fidelity National Information Services,"8,500,000",2007,"An employee sold customer information to a data broker, including names, addresses, birth dates, bank account and credit card information.",finance,inside job,3
402,City and Hackney Teaching Primary Care Trust,"160,000",2007,Disks containing children's personal details were lost by couriers. It prompted the agency to introduce disk encryption.,government,lost device ,2
403,Gap Inc,"800,000",2007,A laptop containing data on people who applied for positions at Gap stores between July 2006 and June 2007 was stolen.,retail,lost device ,2
404,Dai Nippon Printing,"8,637,405",2007,A former contractor of the firm stole 8.6 million records containing the personal data of customers.,retail,inside job,1
405,TK / TJ Maxx,"94,000,000",2007,A Minnesota store wifi network was hacked. Data from the credit and debit cards of shoppers  was stolen. ,retail,hacked,3
406,JP Morgan Chase,"2,600,000",2007,Personal information was mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.,finance,lost device ,3
407,UK Revenue & Customs,"25,000,000",2007,A set of discs containing confidential details of 25 million child benefit recipients was lost.,government,lost device ,1
408,TD Ameritrade,"6,300,000",2007,The firm settled a class action lawsuit to compensate as many as 6.3 million customers whose data was stolen by hackers.,finance,hacked,1
409,AOL,"20,000,000",2006,"AOL released search data for roughly 20 million web queries from 658,000 anonymized users of the service. No one is quite sure why.",web,oops!,1
410,US Dept of Vet Affairs,"26,500,000",2006,The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop.,"government, military",lost device ,2
411,Automatic Data Processing,"125,000",2006,"Automatic Data Processing, one of the world's largest payroll service companies, confirmed that it was swindled by a data thief looking for information on investors.",finance,poor security,2
412,KDDI,"4,000,000",2006,"Tokyo police arrested two men for trying to extort nearly US$90,000. The pair allegedly threatened to disclose the existence of storage media containing personal data.",telecoms,hacked,1
413,Hewlett Packard,"200,000",2006,"A laptop containing employee data was either lost or stolen. It included names, addresses, Social Security numbers, dates of birth and other employment-related information.","tech, retail",lost device ,2
414,Ameritrade Inc.,"200,000",2005,A computer backup tape containing the personal information of customers between 2000 and 2003 was lost.,finance,lost device ,2
415,Citigroup,"3,900,000",2005,A box of computer tapes containing information on 3.9 million customers was lost in transit to a credit reporting agency.,finance,lost device ,3
416,Cardsystems Solutions Inc. ,"40,000,000",2005,An unauthorized entity enabled access to cusomer credit card data. It's not clear how many of the 40 million accounts were stolen.,finance,hacked,3
417,AOL,"92,000,000",2004,A former America Online software engineer stole 92 million screen names and e-mail addresses and sold them to spammers who sent out up to 7 billion unsolicited e-mails.,web,inside job,1
